structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
csl-eyt,eyt,32,1000000,500000,uniform,50,42,2,36.464,18.386,515.74,0.00,249868,249868,9209488,9.21
csl,sorted,64,1000000,500000,uniform,50,42,2,26.235,2.519,470.26,0.00,249868,249868,8604776,8.60
csl-eyt,eyt,64,1000000,500000,uniform,50,42,2,27.001,12.317,458.14,0.00,249868,249868,8604776,8.60
csl,sorted,128,1000000,500000,uniform,50,42,2,16.626,1.507,447.31,0.00,249868,249868,8303048,8.30
csl-eyt,eyt,128,1000000,500000,uniform,50,42,2,20.534,9.807,426.29,0.00,249868,249868,8303048,8.30
csl,sorted,256,1000000,500000,uniform,50,42,2,19.412,0.622,422.33,0.00,249868,249868,8152808,8.15
csl-eyt,eyt,256,1000000,500000,uniform,50,42,2,19.290,8.075,388.61,0.00,249868,249868,8152808,8.15
csl,sorted,512,1000000,500000,uniform,50,42,2,18.497,0.331,402.52,0.00,249868,249868,8079360,8.08
csl-eyt,eyt,512,1000000,500000,uniform,50,42,2,17.720,7.721,363.33,0.00,249868,249868,8079360,8.08
csl,sorted,1024,1000000,500000,uniform,50,42,2,18.338,0.169,405.70,0.00,249868,249868,8041500,8.04
csl-eyt,eyt,1024,1000000,500000,uniform,50,42,2,19.383,6.210,342.96,0.00,249868,249868,8041500,8.04
csl,sorted,2048,1000000,500000,uniform,50,42,2,17.759,0.084,376.56,0.00,249868,249868,8030740,8.03
csl-eyt,eyt,2048,1000000,500000,uniform,50,42,2,21.979,7.442,313.23,0.00,249868,249868,8030740,8.03
csl,sorted,4096,1000000,500000,uniform,50,42,2,18.866,0.041,362.77,0.00,249868,249868,8037668,8.04
csl-eyt,eyt,4096,1000000,500000,uniform,50,42,2,18.920,5.022,315.77,0.00,249868,249868,8037668,8.04
array,sorted,0,256,500000,uniform,50,42,0,0.000,0.000,49.28,0.00,250205,250205,2048,8.00
array-bl,sorted,0,256,500000,uniform,50,42,0,0.000,0.000,7.18,0.00,250205,250205,2048,8.00
array-eyt,eyt,0,256,500000,uniform,50,42,0,0.000,0.000,8.12,0.00,250205,250205,2048,8.00
skiplist,nodes,0,256,500000,uniform,50,42,0,0.053,0.000,47.48,0.00,250205,250205,4660,18.20
csl,sorted,4,256,500000,uniform,50,42,0,0.030,0.008,51.13,0.00,250205,250205,4628,18.08
csl-eyt,eyt,4,256,500000,uniform,50,42,0,0.072,0.027,70.80,0.00,250205,250205,4628,18.08
csl,sorted,8,256,500000,uniform,50,42,0,0.030,0.008,69.75,0.00,250205,250205,3408,13.31
